champions
"[(1, 100, 111, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 91, 'SOLO', 'MIDDLE'), (3, 100, 236, 'DUO_CARRY', 'BOTTOM'), (4, 100, 76, 'NONE', 'JUNGLE'), (5, 100, 54, 'SOLO', 'TOP'), (6, 200, 26, 'DUO_CARRY', 'BOTTOM'), (7, 200, 235, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 82, 'SOLO', 'TOP'), (9, 200, 421, 'NONE', 'JUNGLE'), (10, 200, 69, 'SOLO', 'MIDDLE')]"
"[(1, 100, 4, 'DUO_SUPPORT', 'NONE'), (2, 100, 350, 'DUO_SUPPORT', 'NONE'), (3, 100, 75, 'DUO_SUPPORT', 'NONE'), (4, 100, 145, 'DUO_SUPPORT', 'NONE'), (5, 100, 875, 'DUO_SUPPORT', 'NONE'), (6, 200, 110, 'DUO_SUPPORT', 'NONE'), (7, 200, 59, 'DUO_SUPPORT', 'NONE'), (8, 200, 53, 'DUO_SUPPORT', 'NONE'), (9, 200, 134, 'DUO_SUPPORT', 'NONE'), (10, 200, 39, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 421, 'NONE', 'JUNGLE'), (2, 100, 84, 'SOLO', 'TOP'), (3, 100, 236, 'DUO_CARRY', 'BOTTOM'), (4, 100, 43, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 45, 'SOLO', 'MIDDLE'), (6, 200, 145, 'DUO_CARRY', 'BOTTOM'), (7, 200, 154, 'NONE', 'JUNGLE'), (8, 200, 92, 'SOLO', 'TOP'), (9, 200, 134, 'SOLO', 'MIDDLE'), (10, 200, 223, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 64, 'NONE', 'JUNGLE'), (2, 100, 134, 'SOLO', 'MIDDLE'), (3, 100, 516, 'SOLO', 'TOP'), (4, 100, 432, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 429, 'DUO_CARRY', 'BOTTOM'), (6, 200, 110, 'DUO_CARRY', 'BOTTOM'), (7, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 58, 'SOLO', 'TOP'), (9, 200, 245, 'NONE', 'JUNGLE'), (10, 200, 238, 'SOLO', 'MIDDLE')]"
"[(1, 100, 101, 'DUO', 'TOP'), (2, 100, 266, 'DUO', 'TOP'), (3, 100, 245, 'NONE', 'JUNGLE'), (4, 100, 143, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 21, 'DUO_CARRY', 'BOTTOM'), (6, 200, 51, 'DUO_CARRY', 'BOTTOM'), (7, 200, 86, 'SOLO', 'TOP'), (8, 200, 69, 'SOLO', 'MIDDLE'), (9, 200, 235, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 32, 'NONE', 'JUNGLE')]"
"[(1, 100, 18, 'DUO_CARRY', 'BOTTOM'), (2, 100, 121, 'NONE', 'JUNGLE'), (3, 100, 69, 'SOLO', 'MIDDLE'), (4, 100, 875, 'SOLO', 'TOP'), (5, 100, 350, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 134, 'SOLO', 'MIDDLE'), (7, 200, 432, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 21, 'DUO_CARRY', 'BOTTOM'), (9, 200, 56, 'NONE', 'JUNGLE'), (10, 200, 429, 'SOLO', 'TOP')]"
"[(1, 100, 62, 'NONE', 'JUNGLE'), (2, 100, 112, 'SOLO', 'MIDDLE'), (3, 100, 429, 'DUO_CARRY', 'BOTTOM'), (4, 100, 44, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 141, 'SOLO', 'TOP'), (6, 200, 246, 'SOLO', 'MIDDLE'), (7, 200, 113, 'NONE', 'JUNGLE'), (8, 200, 99, 'SOLO', 'BOTTOM'), (9, 200, 98, 'SOLO', 'TOP'), (10, 200, 523, 'NONE', 'JUNGLE')]"
"[(1, 100, 875, 'DUO_SUPPORT', 'MIDDLE'), (2, 100, 59, 'NONE', 'JUNGLE'), (3, 100, 84, 'DUO_CARRY', 'MIDDLE'), (4, 100, 21, 'SOLO', 'BOTTOM'), (5, 100, 39, 'SOLO', 'TOP'), (6, 200, 245, 'SOLO', 'TOP'), (7, 200, 121, 'NONE', 'JUNGLE'), (8, 200, 517, 'SOLO', 'MIDDLE'), (9, 200, 96, 'NONE', 'JUNGLE'), (10, 200, 117, 'SOLO', 'BOTTOM')]"
"[(1, 100, 30, 'NONE', 'JUNGLE'), (2, 100, 41, 'DUO', 'TOP'), (3, 100, 89, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 498, 'DUO_CARRY', 'BOTTOM'), (5, 100, 157, 'DUO', 'TOP'), (6, 200, 119, 'SOLO', 'MIDDLE'), (7, 200, 59, 'NONE', 'JUNGLE'), (8, 200, 115, 'DUO_CARRY', 'BOTTOM'), (9, 200, 350, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 429, 'SOLO', 'TOP')]"
"[(1, 100, 498, 'DUO_CARRY', 'BOTTOM'), (2, 100, 79, 'NONE', 'JUNGLE'), (3, 100, 555, 'SOLO', 'MIDDLE'), (4, 100, 126, 'SOLO', 'TOP'), (5, 100, 497, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 164, 'NONE', 'JUNGLE'), (7, 200, 68, 'DUO', 'TOP'), (8, 200, 122, 'DUO', 'TOP'), (9, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 429, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 497, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 59, 'NONE', 'JUNGLE'), (3, 100, 268, 'SOLO', 'MIDDLE'), (4, 100, 85, 'SOLO', 'TOP'), (5, 100, 202, 'DUO_CARRY', 'BOTTOM'), (6, 200, 21, 'DUO_CARRY', 'BOTTOM'), (7, 200, 875, 'DUO', 'MIDDLE'), (8, 200, 80, 'NONE', 'JUNGLE'), (9, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 245, 'DUO', 'MIDDLE')]"
