gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalGold,blueTotalExperience,blueTotalCS,blueGoldDiff,blueExperienceDiff,blueCsdiffat10,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalGold,redTotalExperience,redTotalCS,redAssists
ESPORTSTMNT03/1632489,"[('Mordekaiser', 'top'), ('Graves', 'jng'), ('Zoe', 'mid'), ('Miss Fortune', 'bot'), ('Galio', 'sup')]",1,1.0,0.0,16291.0,20459.0,382.0,1793.0,2365.0,65.0,1.0,0.0,0.0,"[('Ornn', 'top'), ('Kindred', 'jng'), ('Orianna', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,14498.0,18094.0,317.0,0.0
ESPORTSTMNT03/1632500,"[('Gragas', 'top'), ('Graves', 'jng'), ('Rumble', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",0,1.0,0.0,15623.0,19210.0,340.0,759.0,171.0,-8.0,1.0,3.0,0.0,"[('Ornn', 'top'), ('Olaf', 'jng'), ('Syndra', 'mid'), ('Miss Fortune', 'bot'), ('Galio', 'sup')]",0.0,14864.0,19039.0,348.0,0.0
ESPORTSTMNT03/1632502,"[('Gragas', 'top'), ('Graves', 'jng'), ('Zoe', 'mid'), ('Yasuo', 'bot'), ('Alistar', 'sup')]",0,1.0,0.0,15043.0,16987.0,275.0,73.0,-1.0,-24.0,3.0,3.0,2.0,"[('Rumble', 'top'), ('Nidalee', 'jng'), ('Yone', 'mid'), ('Miss Fortune', 'bot'), ('Galio', 'sup')]",0.0,14970.0,16988.0,299.0,4.0
6909-9183,"[('Karma', 'top'), ('Pantheon', 'jng'), ('Syndra', 'mid'), ('Samira', 'bot'), ('Leona', 'sup')]",0,1.0,0.0,16177.0,19640.0,380.0,732.0,75.0,20.0,1.0,1.0,0.0,"[('Aatrox', 'top'), ('Nidalee', 'jng'), ('Viktor', 'mid'), (""Kai'Sa"", 'bot'), ('Galio', 'sup')]",0.0,15445.0,19565.0,360.0,0.0
6909-9184,"[('Jax', 'top'), ('Hecarim', 'jng'), ('Orianna', 'mid'), ('Samira', 'bot'), ('Alistar', 'sup')]",0,0.0,0.0,16752.0,20020.0,361.0,1502.0,1164.0,40.0,2.0,2.0,1.0,"[('Camille', 'top'), ('Lillia', 'jng'), ('Viktor', 'mid'), (""Kai'Sa"", 'bot'), ('Maokai', 'sup')]",0.0,15250.0,18856.0,321.0,1.0
6910-9189,"[('Camille', 'top'), ('Kindred', 'jng'), ('Twisted Fate', 'mid'), ('Jhin', 'bot'), ('Galio', 'sup')]",0,1.0,0.0,15842.0,18405.0,322.0,30.0,-307.0,-11.0,2.0,3.0,2.0,"[('Gragas', 'top'), ('Olaf', 'jng'), ('Orianna', 'mid'), ('Miss Fortune', 'bot'), ('Leona', 'sup')]",0.0,15812.0,18712.0,333.0,4.0
6910-9190,"[('Volibear', 'top'), ('Hecarim', 'jng'), ('Orianna', 'mid'), ('Samira', 'bot'), ('Maokai', 'sup')]",0,0.0,0.0,15086.0,17844.0,323.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0,"[('Renekton', 'top'), ('Taliyah', 'jng'), ('Galio', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",0.0,16389.0,19227.0,335.0,7.0
6910-9191,"[('Kennen', 'top'), ('Graves', 'jng'), ('Zoe', 'mid'), ('Miss Fortune', 'bot'), ('Thresh', 'sup')]",0,1.0,0.0,16214.0,19177.0,346.0,323.0,178.0,-2.0,2.0,3.0,1.0,"[('Aatrox', 'top'), ('Pantheon', 'jng'), ('Orianna', 'mid'), ('Jhin', 'bot'), ('Maokai', 'sup')]",0.0,15891.0,18999.0,348.0,1.0
NA1/3735059392,"[('Kennen', 'top'), ('Graves', 'jng'), ('Akali', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",1,1.0,0.0,15837.0,18539.0,324.0,1746.0,824.0,21.0,2.0,2.0,0.0,"[('Sylas', 'top'), ('Kindred', 'jng'), ('Lulu', 'mid'), ('Jhin', 'bot'), ('Shen', 'sup')]",0.0,14091.0,17715.0,303.0,0.0
NA1/3735089393,"[('Ornn', 'top'), ('Kindred', 'jng'), ('Fizz', 'mid'), ('Jhin', 'bot'), ('Galio', 'sup')]",0,0.0,0.0,14800.0,16779.0,273.0,-3500.0,-1882.0,-18.0,3.0,3.0,10.0,"[('Gragas', 'top'), ('Graves', 'jng'), ('Syndra', 'mid'), (""Kai'Sa"", 'bot'), ('Nautilus', 'sup')]",0.0,18300.0,18661.0,291.0,14.0
NA1/3734939626,"[('Ornn', 'top'), ('Olaf', 'jng'), ('Rumble', 'mid'), ('Samira', 'bot'), ('Braum', 'sup')]",0,0.0,0.0,15682.0,18778.0,331.0,576.0,581.0,30.0,2.0,3.0,2.0,"[('Fiora', 'top'), ('Lillia', 'jng'), ('Ryze', 'mid'), (""Kai'Sa"", 'bot'), ('Maokai', 'sup')]",0.0,15106.0,18197.0,301.0,2.0
NA1/3737099763,"[('Aatrox', 'top'), ('Karthus', 'jng'), ('Lucian', 'mid'), (""Kai'Sa"", 'bot'), ('Pantheon', 'sup')]",1,1.0,0.0,17378.0,20061.0,349.0,3360.0,2635.0,76.0,4.0,7.0,1.0,"[('Ornn', 'top'), ('Hecarim', 'jng'), ('Viktor', 'mid'), ('Samira', 'bot'), ('Maokai', 'sup')]",0.0,14018.0,17426.0,273.0,1.0
NA1/3737119854,"[('Gragas', 'top'), ('Graves', 'jng'), ('LeBlanc', 'mid'), (""Kai'Sa"", 'bot'), ('Leona', 'sup')]",0,0.0,0.0,16008.0,18411.0,300.0,402.0,1150.0,5.0,4.0,8.0,2.0,"[('Renekton', 'top'), ('Nidalee', 'jng'), ('Twisted Fate', 'mid'), ('Lucian', 'bot'), ('Alistar', 'sup')]",0.0,15606.0,17261.0,295.0,3.0
NA1/3735059696,"[('Ornn', 'top'), ('Lillia', 'jng'), ('Pantheon', 'mid'), ('Lucian', 'bot'), ('Maokai', 'sup')]",1,1.0,0.0,16274.0,18311.0,315.0,1366.0,80.0,-10.0,4.0,4.0,1.0,"[('Gragas', 'top'), ('Hecarim', 'jng'), ('Viktor', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",0.0,14908.0,18231.0,325.0,0.0
NA1/3735089630,"[('Gragas', 'top'), ('Graves', 'jng'), ('Anivia', 'mid'), ('Miss Fortune', 'bot'), ('Sett', 'sup')]",0,0.0,0.0,14510.0,17599.0,287.0,-1635.0,-1297.0,-27.0,2.0,1.0,3.0,"[('Aatrox', 'top'), ('Nidalee', 'jng'), ('Viktor', 'mid'), (""Kai'Sa"", 'bot'), ('Galio', 'sup')]",0.0,16145.0,18896.0,314.0,5.0
