gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,blueChamps,redChamps,bluePredWinrate,redPredWinrate,blueAvgPickrate,redAvgPickrate,blueHas62,redHas62,blueHas111,redHas111,blueHas145,redHas145,blueHas39,redHas39,blueHas517,redHas517
4519157822,0,28,2,1,9,11,0,0,0,6.6,17039,36,643,-8,19.5,1721.0,15,6,6,8,0,0,0,6.8,17047,55,19.7,1656.7,"['Nautilus', 'Talon', 'Lucian', 'Nidalee', 'Malphite']","['Zilean', 'Senna', 'Mordekaiser', ""Rek'Sai"", 'Cassiopeia']",0.4893943656367017,0.5098585032466947,0.08679016094746432,0.1036137260856362,False,False,True,False,False,False,False,False,False,False
4523371949,0,12,1,0,5,5,0,0,0,6.6,16265,43,-2908,-1173,17.4,1471.2,12,1,5,2,1,1,1,6.8,17438,52,24.0,1762.0,"['Twisted Fate', 'Yuumi', 'Nasus', ""Kai'Sa"", 'Sett']","['Varus', 'Jarvan IV', 'Blitzcrank', 'Syndra', 'Irelia']",0.4927866776077578,0.4927626596454999,0.1242028545399332,0.12159125417552386,False,False,False,False,True,False,False,True,False,False
4521474530,0,15,0,0,7,4,1,0,0,6.4,16221,46,-1172,-1033,18.6,1611.3,15,3,11,14,0,0,0,6.8,17254,28,20.3,1728.5,"[""Rek'Sai"", 'Akali', 'Lucian', 'Karma', 'Veigar']","[""Kai'Sa"", 'Zac', 'Riven', 'Syndra', 'Tahm Kench']",0.4897514339398884,0.4985801262557663,0.08660795627087761,0.11268346998684076,False,False,False,False,False,True,False,False,False,False
4524384067,0,43,1,0,4,5,0,1,0,7.0,17954,55,-1321,-7,20.1,1515.7,15,2,5,10,0,0,0,7.0,17961,47,23.5,1647.8,"['Lee Sin', 'Syndra', 'Ornn', 'Bard', 'Kalista']","['Varus', 'Thresh', 'Renekton', 'Ekko', 'Zed']",0.5014745992035812,0.5086253330768875,0.16242534669500966,0.1449741876708169,False,False,False,False,False,False,False,False,False,False
4436033771,0,75,4,0,6,6,0,0,0,7.0,18543,57,-1004,230,21.0,1640.0,17,2,6,7,1,0,0,7.0,18313,67,22.5,1740.4,"['Xerath', 'Aatrox', 'Ekko', 'Zyra', 'Miss Fortune']","['Caitlyn', 'Garen', 'Cassiopeia', 'Senna', 'Amumu']",0.4949710161300136,0.5116318467596483,0.12227958295374028,0.07776090697439011,False,False,False,False,False,False,False,False,False,False
4475365709,1,18,0,0,5,6,1,0,0,7.0,18161,42,698,101,22.5,1589.9,36,5,3,2,0,0,0,7.0,18060,59,22.1,1520.1,"['Tristana', ""Kha'Zix"", 'Cassiopeia', 'Sett', 'Yuumi']","['Syndra', 'Bard', 'Miss Fortune', 'Nocturne', 'Kalista']",0.4964956817400104,0.5003719406003688,0.126328575766778,0.15372001214697845,False,False,False,False,False,False,False,False,False,False
4493010632,1,18,3,1,7,7,1,0,0,6.8,16967,53,2411,1563,22.5,1687.4,57,1,6,9,0,0,0,6.4,15404,35,16.4,1446.3,"['Wukong', 'Viktor', 'Kalista', 'Taric', 'Kayn']","['Qiyana', 'Sejuani', 'Lux', 'Shen', 'Aphelios']",0.5093352386195853,0.5024700558020985,0.08440125518777204,0.07610081992104464,True,False,False,False,False,False,False,False,False,False
4496759358,0,16,2,0,5,3,0,0,0,6.4,16138,48,-2615,-800,20.9,1530.5,15,0,13,11,1,0,0,6.6,16938,54,15.7,1792.0,"['Sett', 'Jarvan IV', 'Akali', 'Miss Fortune', 'Irelia']","['Ekko', ""Kha'Zix"", 'Sylas', ""Kog'Maw"", 'Lulu']",0.4854434865752745,0.5014524555564153,0.15369976718291326,0.10865472213786824,False,False,False,False,False,False,True,False,False,True
4443048030,0,16,3,0,7,8,0,0,0,7.2,18527,61,-1979,-771,18.9,1640.1,15,2,7,5,1,1,0,7.2,19298,53,24.0,1838.0,"['Karthus', 'Gangplank', 'Leona', 'Xayah', 'Yasuo']","['Draven', 'Jarvan IV', 'Ziggs', 'Yuumi', 'Kalista']",0.5000414216560839,0.5040739650726113,0.0794209940277356,0.11057799372406114,False,False,False,False,False,False,False,False,False,False
4509433346,1,13,1,1,4,5,1,0,0,6.8,16805,39,-1548,-1574,22.0,1505.7,16,2,5,4,0,0,0,6.8,18379,43,24.7,1660.5,"['Xayah', 'Gragas', 'Pyke', 'Jayce', 'Rakan']","['Camille', 'Rumble', 'Darius', 'Thresh', 'Kalista']",0.4774300437378781,0.508220301963466,0.07865168539325842,0.12270472719910926,False,False,False,False,False,False,False,False,False,False
4452162573,0,20,3,1,4,6,0,0,0,6.6,16611,28,331,-1585,23.1,1547.4,15,2,4,5,1,0,0,7.2,18196,51,21.6,1514.3,"['Rakan', 'Jarvan IV', 'Azir', 'Kennen', 'Jhin']","['Miss Fortune', 'Sett', 'Pantheon', 'Thresh', 'Ekko']",0.5147108517621964,0.5039281905528142,0.06338698248810608,0.19734790970746027,False,False,False,False,False,False,False,False,False,False
4453038156,0,33,2,1,11,7,0,1,0,7.0,18507,40,-1505,-635,15.7,1669.5,17,1,11,9,0,0,0,7.0,19142,52,18.8,1820.0,"['Senna', 'Yasuo', 'Ornn', 'Nidalee', 'Aphelios']","['Syndra', 'Lux', 'Sylas', 'Camille', 'Elise']",0.5058999359854157,0.5018312476343234,0.11219759084927623,0.12418260957586802,False,False,False,False,False,False,False,False,False,True
4515594785,1,18,1,1,7,11,1,0,0,7.4,19102,53,3274,1659,23.8,1786.5,12,1,1,1,0,0,0,6.8,17443,50,24.0,1459.1,"['Braum', 'Lee Sin', 'Pantheon', 'Ezreal', 'Twisted Fate']","['Rakan', 'Zac', 'Tristana', 'Jayce', 'Syndra']",0.4976272401272294,0.4848990879046904,0.13908290312784696,0.09033302965887237,False,False,False,False,False,False,False,False,False,False
4524924257,0,14,3,0,4,1,0,1,0,6.6,17213,52,-3414,-1141,21.0,1497.9,20,3,9,11,0,0,0,7.2,18354,51,22.9,1839.3,"['Master Yi', 'Pyke', 'Tristana', 'Sion', ""Vel'Koz""]","['Jax', 'Twitch', 'Galio', 'Nami', 'Vayne']",0.4677815749788152,0.49886405862026295,0.054074299018119235,0.06269865370988968,False,False,False,False,False,False,False,False,False,False
