blueWins,blueWardsDestroyed,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsDestroyed,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,blueVisionScore,redVisionScore
0,2,1,9,11,0,0,0,6.6,36,643,-8,19.5,1721.0,6,6,8,0,0,0,6.8,55,19.7,1656.7,28,15
0,1,0,5,5,0,0,0,6.6,43,-2908,-1173,17.4,1471.2,1,5,2,1,1,1,6.8,52,24.0,1762.0,12,12
0,0,0,7,4,1,0,0,6.4,46,-1172,-1033,18.6,1611.3,3,11,14,0,0,0,6.8,28,20.3,1728.5,15,15
0,1,0,4,5,0,1,0,7.0,55,-1321,-7,20.1,1515.7,2,5,10,0,0,0,7.0,47,23.5,1647.8,43,15
0,4,0,6,6,0,0,0,7.0,57,-1004,230,21.0,1640.0,2,6,7,1,0,0,7.0,67,22.5,1740.4,75,17
1,0,0,5,6,1,0,0,7.0,42,698,101,22.5,1589.9,5,3,2,0,0,0,7.0,59,22.1,1520.1,18,36
1,3,1,7,7,1,0,0,6.8,53,2411,1563,22.5,1687.4,1,6,9,0,0,0,6.4,35,16.4,1446.3,18,57
0,2,0,5,3,0,0,0,6.4,48,-2615,-800,20.9,1530.5,0,13,11,1,0,0,6.6,54,15.7,1792.0,16,15
0,3,0,7,8,0,0,0,7.2,61,-1979,-771,18.9,1640.1,2,7,5,1,1,0,7.2,53,24.0,1838.0,16,15
1,1,1,4,5,1,0,0,6.8,39,-1548,-1574,22.0,1505.7,2,5,4,0,0,0,6.8,43,24.7,1660.5,13,16
0,3,1,4,6,0,0,0,6.6,28,331,-1585,23.1,1547.4,2,4,5,1,0,0,7.2,51,21.6,1514.3,20,15
0,2,1,11,7,0,1,0,7.0,40,-1505,-635,15.7,1669.5,1,11,9,0,0,0,7.0,52,18.8,1820.0,33,17
1,1,1,7,11,1,0,0,7.4,53,3274,1659,23.8,1786.5,1,1,1,0,0,0,6.8,50,24.0,1459.1,18,12
0,3,0,4,1,0,1,0,6.6,52,-3414,-1141,21.0,1497.9,3,9,11,0,0,0,7.2,51,22.9,1839.3,14,20
1,3,1,4,4,0,0,0,6.8,51,-470,-187,22.4,1572.2,1,4,3,0,0,0,7.0,48,24.2,1619.2,15,102
0,1,0,3,3,0,0,0,6.8,53,-1996,-1804,20.9,1501.5,3,7,13,0,0,0,7.2,51,23.7,1701.1,17,18
1,1,1,10,8,0,0,0,7.6,56,5228,3378,26.3,1973.3,2,2,2,1,0,0,6.8,64,21.0,1450.5,14,13
0,3,0,3,3,0,1,0,6.8,54,-1975,-1345,20.3,1485.2,14,7,6,0,0,0,6.8,53,21.8,1682.7,43,17
1,4,1,5,11,0,0,0,6.8,49,882,512,21.3,1628.2,3,4,3,1,1,0,6.6,52,22.8,1540.0,21,19
0,3,0,5,5,0,0,0,7.0,48,-3155,-2773,18.8,1499.4,1,9,9,0,0,0,7.4,56,21.9,1814.9,11,15
1,3,1,11,15,1,0,0,7.2,45,2526,1625,21.4,1860.6,2,6,4,0,0,0,7.0,48,22.5,1608.0,14,12
0,1,0,4,5,0,0,0,6.8,43,-2835,-2821,20.3,1587.8,3,13,14,1,0,0,7.2,45,20.9,1871.3,13,15
0,2,0,4,3,0,0,0,7.0,56,-1254,-567,23.8,1577.3,3,6,10,1,0,0,7.0,60,23.1,1702.7,17,16
0,4,0,4,4,1,1,0,6.8,67,406,1283,23.8,1590.6,3,3,3,0,0,0,7.0,64,22.0,1550.0,78,15
1,3,0,6,10,0,0,0,6.8,45,-1020,493,20.8,1651.5,3,9,13,0,0,0,6.6,36,19.7,1753.5,33,18
0,1,0,4,4,0,0,0,6.2,44,-2472,-1067,20.4,1541.5,2,8,13,1,0,0,7.0,36,22.1,1788.7,17,19
1,1,0,8,9,1,0,0,7.0,44,1260,-55,20.9,1717.8,3,6,3,0,0,0,6.8,36,23.3,1591.8,18,10
0,3,1,7,9,0,0,0,7.0,61,1857,2015,22.8,1722.6,4,4,2,1,0,0,6.6,49,20.2,1536.9,19,14
