blueWins,blueFirstBlood,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,redKills,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,bluePredWinrate,redPredWinrate
1,1.0,20459.0,1793.0,2365.0,65.0,1.0,0.0,0.0,18094.0,0.0,38.2,31.7,1629.1,1449.8,0.09267939115728437,0.15827494563904326,0.4836697640661719,0.4875274964350363
0,1.0,19210.0,759.0,171.0,-8.0,1.0,3.0,0.0,19039.0,0.0,34.0,34.8,1562.3,1486.4,0.2427397922203431,0.1291616332447451,0.5024435666542643,0.4817066326783484
0,1.0,16987.0,73.0,-1.0,-24.0,3.0,3.0,2.0,16988.0,4.0,27.5,29.9,1504.3,1497.0,0.14460014496255136,0.10787629862285578,0.4921185306407488,0.4987758640450625
0,1.0,19640.0,732.0,75.0,20.0,1.0,1.0,0.0,19565.0,0.0,38.0,36.0,1617.7,1544.5,0.1295965208987678,0.21215269388741245,0.4808549971389714,0.5094415540059647
0,0.0,20020.0,1502.0,1164.0,40.0,2.0,2.0,1.0,18856.0,1.0,36.1,32.1,1675.2,1525.0,0.17120077313360715,0.19555448175887896,0.4976042688483851,0.5213056557179228
0,1.0,18405.0,30.0,-307.0,-11.0,2.0,3.0,2.0,18712.0,4.0,32.2,33.3,1584.2,1581.2,0.10253684464846582,0.18270113553998552,0.4997862702672126,0.4993497372034539
0,0.0,17844.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0,19227.0,7.0,32.3,33.5,1508.6,1638.9,0.14496255134090358,0.24839333172263836,0.510972648185354,0.5318844043348628
0,1.0,19177.0,323.0,178.0,-2.0,2.0,3.0,1.0,18999.0,1.0,34.6,34.8,1621.4,1589.1,0.1096158492389466,0.11092051220101473,0.4914887875759296,0.5190483795850438
1,1.0,18539.0,1746.0,824.0,21.0,2.0,2.0,0.0,17715.0,0.0,32.4,30.3,1583.7,1409.1,0.2034307803817347,0.07083836675525489,0.514027853545869,0.4682167497940767
0,0.0,16779.0,-3500.0,-1882.0,-18.0,3.0,3.0,10.0,18661.0,14.0,27.3,29.1,1480.0,1830.0,0.07917371345735685,0.2319159217202223,0.4870709193567649,0.4820483912821708
0,0.0,18778.0,576.0,581.0,30.0,2.0,3.0,2.0,18197.0,2.0,33.1,30.1,1568.2,1510.6,0.1168398163807683,0.1595796086011114,0.487366568415109,0.4977644890151355
1,1.0,20061.0,3360.0,2635.0,76.0,4.0,7.0,1.0,17426.0,1.0,34.9,27.3,1737.8,1401.8,0.16279294515583476,0.11386808407827978,0.508433598933008,0.5045893329761346
0,0.0,18411.0,402.0,1150.0,5.0,4.0,8.0,2.0,17261.0,3.0,30.0,29.5,1600.8,1560.6,0.2176612708383668,0.17170814206330032,0.4976655880059741,0.5197439491131597
1,1.0,18311.0,1366.0,80.0,-10.0,4.0,4.0,1.0,18231.0,0.0,31.5,32.5,1627.4,1490.8,0.09705242812273496,0.2637352017395506,0.5076991809127503,0.5057790481272187
0,0.0,17599.0,-1635.0,-1297.0,-27.0,2.0,1.0,3.0,18896.0,5.0,28.7,31.4,1451.0,1614.5,0.11488282193766612,0.21215269388741245,0.4432851852052193,0.5094415540059647
1,1.0,19878.0,109.0,2423.0,31.0,2.0,3.0,0.0,17455.0,0.0,34.0,30.9,1620.1,1609.2,0.20507368929693165,0.08608359507127326,0.4783640381329535,0.4908004602015879
1,1.0,18667.0,1185.0,755.0,14.0,6.0,8.0,4.0,17912.0,6.0,31.2,29.8,1716.8,1598.3,0.16929209954095192,0.22403962309736652,0.5083780931280157,0.5054111836799721
0,0.0,18757.0,-490.0,207.0,-6.0,3.0,8.0,4.0,18550.0,5.0,31.7,32.3,1589.6,1638.6,0.19748731577675765,0.1700410727228799,0.5171458525379781,0.490569376852182
1,0.0,19630.0,58.0,1727.0,63.0,0.0,0.0,2.0,17903.0,5.0,36.3,30.0,1532.8,1527.0,0.0649673834259483,0.08567286784247402,0.4736559755392675,0.4621845185721949
1,1.0,18955.0,2176.0,884.0,6.0,4.0,8.0,1.0,18071.0,1.0,31.8,31.2,1688.4,1470.8,0.08975597970524281,0.18695337037931867,0.5129559367209026,0.4960256874921297
0,1.0,18412.0,887.0,-522.0,-36.0,6.0,7.0,3.0,18934.0,5.0,29.7,33.3,1697.3,1608.6,0.2348634935974873,0.14848997342353226,0.4943600489020451,0.4920119908920901
0,0.0,18269.0,-1520.0,-230.0,-15.0,1.0,2.0,4.0,18499.0,2.0,29.8,31.3,1453.4,1605.4,0.17972940323749698,0.1583232664894902,0.4985406668816471,0.4723417773238746
1,1.0,20486.0,2324.0,3048.0,73.0,3.0,0.0,2.0,17438.0,2.0,37.6,30.3,1696.1,1463.7,0.11442377385841992,0.059821212853346226,0.4957794002933063,0.5303494517262226
0,0.0,18131.0,-949.0,-636.0,-32.0,0.0,0.0,1.0,18767.0,2.0,29.2,32.4,1444.5,1539.4,0.08533462188934526,0.18714665378110654,0.4408270800951137,0.5154522373277841
1,1.0,20396.0,1748.0,1430.0,50.0,2.0,4.0,1.0,18966.0,1.0,36.4,31.4,1667.0,1492.2,0.1795844406861561,0.09627929451558348,0.4978296097639264,0.4835863642809765
0,1.0,17582.0,690.0,1055.0,-25.0,3.0,4.0,1.0,16527.0,1.0,27.7,30.2,1534.2,1465.2,0.09267939115728438,0.14496255134090358,0.4691965642077812,0.4890450992222865
1,0.0,17680.0,-436.0,-107.0,10.0,3.0,6.0,3.0,17787.0,5.0,31.3,30.3,1567.3,1610.9,0.05626963034549408,0.10309253442860596,0.4552098805326419,0.5118449691767636
1,0.0,17634.0,-58.0,-518.0,-44.0,5.0,5.0,2.0,18152.0,4.0,26.8,31.2,1577.7,1583.5,0.06842232423290649,0.1552790529113312,0.5064099055680986,0.4900526611027236
1,0.0,19279.0,1161.0,1673.0,56.0,3.0,5.0,1.0,17606.0,1.0,34.0,28.4,1635.1,1519.0,0.12230007248127568,0.16883305146170574,0.5084260325998633,0.5168304867181116
1,0.0,18445.0,-94.0,483.0,34.0,0.0,0.0,1.0,17962.0,4.0,34.9,31.5,1490.7,1500.1,0.15856487074172504,0.16040106305870985,0.4833111003213096,0.5121393257330621
0,1.0,16251.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,17695.0,5.0,26.0,31.3,1593.6,1516.2,0.17344769267939114,0.2265281468953854,0.4823399761111878,0.5053397720563739
1,1.0,18577.0,1748.0,482.0,-10.0,6.0,10.0,2.0,18095.0,3.0,31.5,32.5,1725.9,1551.1,0.17313360715148587,0.1705726020777966,0.5139210248400049,0.4828314470295985
