blueWins,blueFirstBlood,blueKills,blueAssists,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redKills,redAssists,redTotalExperience,redCSPerMin,redGoldPerMin,bluePredWinrate,redPredWinrate,blueAvgPickrate,redAvgPickrate,blueCSDiff
0,1,9,11,17039,643,-8,19.5,1721.0,6,8,17047,19.7,1656.7,0.4893943656367017,0.5098585032466947,0.08679016094746432,0.1036137260856362,-2.0
0,0,5,5,16265,-2908,-1173,17.4,1471.2,5,2,17438,24.0,1762.0,0.4927866776077578,0.4927626596454999,0.1242028545399332,0.12159125417552386,-66.0
0,0,7,4,16221,-1172,-1033,18.6,1611.3,11,14,17254,20.3,1728.5,0.4897514339398884,0.4985801262557663,0.08660795627087761,0.11268346998684076,-17.0
0,0,4,5,17954,-1321,-7,20.1,1515.7,5,10,17961,23.5,1647.8,0.5014745992035812,0.5086253330768875,0.16242534669500966,0.1449741876708169,-34.0
0,0,6,6,18543,-1004,230,21.0,1640.0,6,7,18313,22.5,1740.4,0.4949710161300136,0.5116318467596483,0.12227958295374028,0.07776090697439011,-15.0
1,0,5,6,18161,698,101,22.5,1589.9,3,2,18060,22.1,1520.1,0.4964956817400104,0.5003719406003688,0.126328575766778,0.15372001214697845,4.0
1,1,7,7,16967,2411,1563,22.5,1687.4,6,9,15404,16.4,1446.3,0.5093352386195853,0.5024700558020985,0.08440125518777204,0.07610081992104464,61.0
0,0,5,3,16138,-2615,-800,20.9,1530.5,13,11,16938,15.7,1792.0,0.4854434865752745,0.5014524555564153,0.15369976718291326,0.10865472213786824,52.0
0,0,7,8,18527,-1979,-771,18.9,1640.1,7,5,19298,24.0,1838.0,0.5000414216560839,0.5040739650726113,0.0794209940277356,0.11057799372406114,-51.0
1,1,4,5,16805,-1548,-1574,22.0,1505.7,5,4,18379,24.7,1660.5,0.4774300437378781,0.508220301963466,0.07865168539325842,0.12270472719910926,-27.0
0,1,4,6,16611,331,-1585,23.1,1547.4,4,5,18196,21.6,1514.3,0.5147108517621964,0.5039281905528142,0.06338698248810608,0.19734790970746027,15.0
0,1,11,7,18507,-1505,-635,15.7,1669.5,11,9,19142,18.8,1820.0,0.5058999359854157,0.5018312476343234,0.11219759084927623,0.12418260957586802,-31.0
