items,levels
"{1: [1041, 2031, 3340, 1412, 2055], 2: [1054, 2003, 3340, 1055, 1036, 1053, 1001, 1036, 2031], 3: [1054, 2003, 3340, 1036, 1036, 1001, 1006, 3077, 1036, 2055, 3117], 4: [3340, 2003, 2003, 3850, 1001, 2031, 3009, 1052, 2055], 5: [2033, 3340, 1036, 1036, 2055, 3134, 1036, 1036, 2055], 6: [1056, 2003, 2003, 3340, 1052, 2055, 3802, 2055, 2003, 1082], 7: [3862, 2003, 2003, 3340, 3009, 2031, 2055], 8: [1055, 2003, 3340, 1055, 1001, 2003, 2055, 3006, 1042, 2003], 9: [2033, 3340, 1028, 3751, 2055, 1001, 1029, 1028], 10: [1039, 2031, 3340, 3364, 1001, 2055, 3706, 3108, 2055, 1402, 2055]}","{1: 6, 2: 8, 3: 7, 4: 5, 5: 7, 6: 6, 7: 6, 8: 8, 9: 8, 10: 6}"
"{1: [1055, 2003, 3340, 3006, 2055, 1055, 1042], 2: [3340, 1039, 2031, 3364, 1042, 1042, 1001, 3706, 3108, 1402], 3: [2033, 3340, 1036, 1036, 1001, 1036, 3117, 2055, 3134, 3133, 2055], 4: [3850, 2003, 2003, 3340, 1026, 2003, 2003, 2055, 1052], 5: [2033, 1036, 1036, 1001, 3144, 1043], 6: [1036, 2031, 3340, 1001, 3134, 1036, 2055, 3364, 3117], 7: [2031, 1039, 3340, 1001, 2055, 3108, 1082, 1414, 1028, 3067], 8: [3862, 2003, 2003, 3340, 3070, 2055, 2003, 1036, 1036, 2003, 2003], 9: [1054, 2003, 3340, 2003, 2003, 3751, 1001, 1029, 2003, 3047, 1029, 1029, 2003, 2003], 10: [1054, 3340, 2003, 1001, 3020, 1052, 2003, 1026, 1028, 2031]}","{1: 6, 2: 7, 3: 8, 4: 6, 5: 8, 6: 7, 7: 6, 8: 7, 9: 7, 10: 7}"
"{1: [1054, 2003, 3340, 3076, 2055, 3044], 2: [1055, 2003, 3340, 1055, 2003, 2055, 2003, 1055, 1001, 2003, 3006, 2003], 3: [1054, 2003, 3340, 1027, 1082, 1026, 1028], 4: [3854, 2003, 2003, 3340, 1036, 1001, 2055, 2003, 2055, 2055, 2003, 2003, 3117, 2055, 2003, 3134, 1036, 2055], 5: [3340, 2031, 1039, 3715, 1036, 1412, 3364, 1001], 6: [2033, 3340, 1055, 1006, 1036, 1029, 3077], 7: [3340, 2033, 1036, 3134, 1036, 1036, 1001, 3179, 2055], 8: [1041, 2031, 3340, 1036, 1036, 2055, 3715, 1001], 9: [3850, 2003, 2003, 3340, 1001, 3020, 1052, 3145, 2055, 3364, 1028], 10: [1056, 2003, 2003, 3340, 3108, 1052, 3067, 2031]}","{1: 8, 2: 6, 3: 7, 4: 6, 5: 7, 6: 7, 7: 6, 8: 6, 9: 6, 10: 8}"
"{1: [1039, 2031, 3340, 3751, 1001, 2055, 3364, 3706, 2055], 2: [1055, 2003, 3340, 1038, 1001, 1042, 2003], 3: [1055, 2003, 3340, 1036, 2003, 1036, 2003, 3133, 2031, 1036, 1029, 3067], 4: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 2003, 1027], 5: [2033, 3340, 1052, 3111, 3145, 1028, 1082], 6: [1039, 2031, 3340, 1082, 3364, 1001, 3020, 3706], 7: [3340, 3340, 1055, 2003, 3006], 8: [1055, 2003, 3340, 1055, 2031, 2055, 1036, 1006, 3077, 1028, 2055], 9: [3340, 3340, 1056, 2003, 2003, 3340, 1082, 1052, 3020, 2055, 3802], 10: [3854, 2003, 2003, 3340, 1001, 1028, 2055]}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 7, 6: 7, 7: 6, 8: 8, 9: 8, 10: 6}"
"{1: [2031, 3340, 1041, 3077, 2055, 1001, 2055, 3158, 2055], 2: [1056, 2003, 3340, 2003, 3802, 1026, 1052, 2055], 3: [1036, 2003, 2003, 2003, 3340, 1036, 1036, 1001, 3147, 2055], 4: [3850, 2003, 2003, 3340, 1052, 1004, 1004, 2055, 3108, 1001], 5: [3340, 1036, 2031, 3077, 2055, 3044, 1083, 2055], 6: [2031, 1036, 1036, 1001, 3077, 1036, 1036], 7: [3340, 3858, 2003, 2003, 1001, 2055, 3364, 2055, 2055, 2055, 3117, 2055], 8: [1055, 3340, 1038, 1037, 1001, 2003, 1042, 2055], 9: [1041, 3340, 2031, 3715, 1036, 2055, 3133, 1001], 10: [1056, 2003, 2003, 3340, 1056, 2031, 2055, 1052, 1052]}","{1: 7, 2: 7, 3: 8, 4: 6, 5: 8, 6: 7, 7: 5, 8: 7, 9: 6, 10: 8}"
"{1: [2033, 3340, 1001, 1029, 3047, 1006, 2055, 1053, 1042, 2055], 2: [2033, 3340, 1028, 2055, 1001, 3751, 2055, 1033], 3: [1041, 2031, 3340, 3715, 1036, 2055, 2055, 1036, 1412, 3047, 2055, 2055], 4: [3858, 2003, 2003, 3340, 1001, 1029, 2055, 2003, 3117, 2003, 3364], 5: [2003, 3340, 1055, 1038], 6: [3340, 3340, 1041, 2031, 3364, 1001, 3706, 2055], 7: [2033, 3340, 1082, 1052, 2055, 3802, 1001, 2055], 8: [1036, 2031, 3340, 3077, 1001, 3117, 3134, 1036, 1036], 9: [3862, 2003, 2003, 3340, 3134, 2055], 10: [1055, 2003, 3340, 1038, 1042, 1042, 2003, 2055]}","{1: 7, 2: 7, 3: 6, 4: 6, 5: 6, 6: 7, 7: 8, 8: 9, 9: 6, 10: 7}"
"{1: [2033, 1082, 1056, 2055, 3067, 2055], 2: [2033, 3340, 1001, 1036, 1036, 1029, 3142], 3: [1083, 3340, 1053, 1001, 3006, 1036, 2003, 2055], 4: [3862, 2003, 2003, 3340, 3134, 1036, 2055, 3179, 3009, 2055, 1036, 3364], 5: [1039, 2031, 3340, 3706, 2055, 2055, 3751, 1401, 1028], 6: [3858, 2003, 2003, 3340, 1001, 2003, 3047, 2055, 2055], 7: [1039, 2031, 3340, 3364, 3706, 2055, 1052, 1001, 2055, 1402], 8: [1055, 2003, 1001, 1042, 2003, 1027, 1004, 1042, 3070], 9: [1054, 2003, 3340, 3751, 1029, 1001], 10: [2033, 3340, 3044, 1027, 1001, 1042]}","{1: 8, 2: 7, 3: 8, 4: 7, 5: 7, 6: 6, 7: 7, 8: 5, 9: 8, 10: 8}"
"{1: [1039, 3340, 2031, 3715, 1052, 1414, 2055, 3364], 2: [3858, 2003, 2003, 2055, 2055, 1001, 2055, 2031, 3009], 3: [1055, 2003, 3340, 1055, 1036, 1036, 3123, 1001], 4: [1055, 2003, 1055, 2031, 2055, 1036, 1036, 1006, 3077, 1053], 5: [1056, 2003, 3340, 2003, 1052, 1052, 2055, 2055, 2003, 3802, 1001, 1052, 2003, 2003], 6: [1055, 2003, 3057, 1083, 3070, 1001], 7: [1041, 2031, 3340, 3364, 3715, 1036, 1036, 2055, 1412, 3111, 2055, 1036], 8: [1056, 2003, 2003, 3340, 1052, 1052, 2055, 3802, 3020, 2055], 9: [2003, 1055, 3340, 2031, 2055, 3123, 1001, 3144], 10: [2003, 2003, 3850, 1052, 1004, 1004, 2055, 3108, 2055]}","{1: 7, 2: 6, 3: 6, 4: 8, 5: 8, 6: 6, 7: 7, 8: 8, 9: 8, 10: 6}"
"{1: [1056, 2003, 2003, 3340, 2031, 1056, 2055, 1001, 1027], 2: [1041, 2031, 3340, 3715, 3133, 2055], 3: [1054, 2003, 3340, 1036, 2031, 1053, 1001, 2055], 4: [3340, 3340, 1056, 3340, 2003, 2003, 3191, 2055, 3020], 5: [3862, 2003, 2003, 3340, 3134, 2055, 1036, 1036, 2055, 2003, 2003], 6: [1055, 2003, 3340, 1055, 3144, 2055], 7: [1056, 2003, 2003, 3340, 1056, 1001, 2003, 2003, 3020, 2055, 2031], 8: [1055, 2003, 3340, 1055, 1036, 2031, 1029, 2055, 3047], 9: [3858, 2003, 2003, 1001, 2031, 3009, 2055], 10: [1039, 2031, 3340, 3364, 3364, 3364, 1041, 3715, 3133]}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 6, 6: 6, 7: 7, 8: 8, 9: 6, 10: 5}"
"{1: [2033, 1056, 1082, 3802, 1052], 2: [1041, 2031, 3340, 1400], 3: [1054, 2003, 3340, 3123, 1001, 1036, 1053, 2055], 4: [1055, 2003, 3340, 1036, 1036, 2031, 2055, 1038, 3133, 1042], 5: [3858, 2003, 2003, 3340, 1001, 2003, 3117, 1028, 1031], 6: [1054, 2003, 3340, 1083, 1001, 2031, 3006, 1042], 7: [1055, 2003, 3340, 1037, 1004, 2003, 3004], 8: [3858, 2003, 2003, 2055, 2003, 1001, 2055, 1029, 1033], 9: [3340, 2003, 2003, 1056, 3108, 1028, 3191, 2055], 10: [1039, 2031, 3340, 3706, 2055, 1001, 1028, 3751, 2055]}","{1: 8, 2: 7, 3: 8, 4: 7, 5: 6, 6: 8, 7: 6, 8: 5, 9: 8, 10: 6}"
