,gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,blueAvgWinrate,redAvgWinrate
0,ESPORTSTMNT03/1632489,"['Mordekaiser', 'Graves', 'Zoe', 'Miss Fortune', 'Galio']",1,1.0,0.0,20459.0,1793.0,2365.0,65.0,1.0,0.0,0.0,"['Ornn', 'Kindred', 'Orianna', 'Ezreal', 'Leona']",0.0,18094.0,0.0,38.2,31.7,1629.1,1449.8,0.08922445035032615,0.14730611258758156,0.4855751404019452,0.48838543424112785
1,ESPORTSTMNT03/1632500,"['Gragas', 'Graves', 'Rumble', 'KaiSa', 'Alistar']",0,1.0,0.0,19210.0,759.0,171.0,-8.0,1.0,3.0,0.0,"['Ornn', 'Olaf', 'Syndra', 'Miss Fortune', 'Galio']",0.0,19039.0,0.0,34.0,34.8,1562.3,1486.4,0.2300797294032375,0.1253201256342112,0.5037573919300452,0.48182973701354104
2,ESPORTSTMNT03/1632502,"['Gragas', 'Graves', 'Zoe', 'Yasuo', 'Alistar']",0,1.0,0.0,16987.0,73.0,-1.0,-24.0,3.0,3.0,2.0,"['Rumble', 'Nidalee', 'Yone', 'Miss Fortune', 'Galio']",0.0,16988.0,4.0,27.5,29.9,1504.3,1497.0,0.1398647016187485,0.09886446001449625,0.4929278305720204,0.500795485597723
3,6909-9183,"['Karma', 'Pantheon', 'Syndra', 'Samira', 'Leona']",0,1.0,0.0,19640.0,732.0,75.0,20.0,1.0,1.0,0.0,"['Aatrox', 'Nidalee', 'Viktor', 'KaiSa', 'Galio']",0.0,19565.0,0.0,38.0,36.0,1617.7,1544.5,0.12181686397680598,0.2024643633727954,0.4791115391961946,0.5105193187605315
4,6909-9184,"['Jax', 'Hecarim', 'Orianna', 'Samira', 'Alistar']",0,0.0,0.0,20020.0,1502.0,1164.0,40.0,2.0,2.0,1.0,"['Camille', 'Lillia', 'Viktor', 'KaiSa', 'Maokai']",0.0,18856.0,1.0,36.1,32.1,1675.2,1525.0,0.1667552548924861,0.18808891036482242,0.4943366066494158,0.522972384251287
5,6910-9189,"['Camille', 'Kindred', 'Twisted Fate', 'Jhin', 'Galio']",0,1.0,0.0,18405.0,30.0,-307.0,-11.0,2.0,3.0,2.0,"['Gragas', 'Olaf', 'Orianna', 'Miss Fortune', 'Leona']",0.0,18712.0,4.0,32.2,33.3,1584.2,1581.2,0.09656921961826528,0.17600869775308045,0.5010427473499431,0.501504120023984
6,6910-9190,"['Volibear', 'Hecarim', 'Orianna', 'Samira', 'Maokai']",0,0.0,0.0,17844.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0,"['Renekton', 'Taliyah', 'Galio', 'KaiSa', 'Alistar']",0.0,19227.0,7.0,32.3,33.5,1508.6,1638.9,0.14071031650157043,0.236047354433438,0.5105955311525148,0.5341155092606933
7,6910-9191,"['Kennen', 'Graves', 'Zoe', 'Miss Fortune', 'Thresh']",0,1.0,0.0,19177.0,323.0,178.0,-2.0,2.0,3.0,1.0,"['Aatrox', 'Pantheon', 'Orianna', 'Jhin', 'Maokai']",0.0,18999.0,1.0,34.6,34.8,1621.4,1589.1,0.10340661995651124,0.10763469437062093,0.4931622438477349,0.5175850651781555
8,NA1/3735059392,"['Kennen', 'Graves', 'Akali', 'KaiSa', 'Alistar']",1,1.0,0.0,18539.0,1746.0,824.0,21.0,2.0,2.0,0.0,"['Sylas', 'Kindred', 'Lulu', 'Jhin', 'Shen']",0.0,17715.0,0.0,32.4,30.3,1583.7,1409.1,0.19342836433921237,0.06506402512684224,0.5150636931627226,0.46594513996957404
9,NA1/3735089393,"['Ornn', 'Kindred', 'Fizz', 'Jhin', 'Galio']",0,0.0,0.0,16779.0,-3500.0,-1882.0,-18.0,3.0,3.0,10.0,"['Gragas', 'Graves', 'Syndra', 'KaiSa', 'Nautilus']",0.0,18661.0,14.0,27.3,29.1,1480.0,1830.0,0.07552548924861077,0.22159942014979467,0.4860785032014885,0.48256320390172985
